tags,gloss,type,subcategories
tired,tired,initial,
tired,tired in one's muscles,initial,
"tired of
weary of","tired of, weary of",initial,
"tired
stiff","tired, stiff",initial,
to,to,initial,
to (river),to a river,initial,
bathe,to bathe,initial,
alive,to be alive,initial,
bloom,to bloom,initial,
"break
separate (V)","to break, to separate from a whole",initial,
bring,to bring s.o. [to a given reference point],initial,
catch (glimpse of),to catch a glimpse of s.o.,initial,
change,to change,initial,
check up on,to check up on s.o. (visually),initial,
circle (V),to circle,initial,
clean (V),to clean things,initial,
cross (V),to cross ,initial,
cry,to cry,initial,
dig,to dig,initial,
"disappear
vanish","to disappear from sight, vanish",initial,
do again,to do… again,initial,
eat,to eat,initial,
excess,to excess,initial,
to (exhaustion),to exhaustion,initial,
exist,to exist,initial,
"extinct
to (extinction)",to extinction,initial,
fear (V),to fear,initial,
find (V),to find,initial,
fish (V),to fish,initial,
"gape
stare","to gape at s.o., stare at s.o.",initial,
go and do,to go and do s.t.,initial,
"go down
go over",to go over and down,initial,
"guard
watch over",to guard or watch over s.o.,initial,
"guard
watch over",to guard or watch over s.o. very closely,initial,
"heal
cure (V)","to heal, cure",initial,
"hither
to here",to here,initial,
"hither
to here",to here (see: from there),initial,
hit (with a missile),to hit with a missile,initial,
to (home),to home,initial,
hunt (V),to hunt,initial,
join,to join,initial,
look at,to look at s.o.,initial,
look at,"to look at s.o. over there, from here",initial,
look for,to look for s.o.,initial,
look for,to look for s.t.,initial,
open (V),to open,initial,
to (outside),to outside,initial,
to (pieces),to pieces,initial,
place (V),to place,initial,
pull down off,to pull s.o. down off s.t.,initial,
rain (V),to rain,initial,
"run (downhill, downward)","to run downward, downhill",initial,
scatter,to scatter bits,initial,
see,to see,initial,
see,to see s.o.,initial,
see,to see s.t.,initial,
see,"to see s.t. by oneself, for oneself",initial,
"magnfied
see (up close)","to see s.t. up close, magnified",initial,
shake,to shake,initial,
shape (V),to shape,initial,
sharpen,to sharpen,initial,
skin (V),to skin,initial,
sleep (V),to sleep,initial,
to,to speaker,initial,
spit (V),to spit,initial,
steal,to steal,initial,
stink,to stink,initial,
suckle,to suckle,initial,
swell,to swell,initial,
swing (V),to swing,initial,
to (end),to the end,initial,
to (water),to the water,initial,
"thither
to there","to there, over there",initial,
touch,to touch,initial,
"seek
try","to try and..., to seek to...",initial,
inside out,to turn inside out ,initial,
watch (closely),to watch s.o. closely,initial,
"keep in sight
watch (continuously)","to watch s.o. continuously, keep them in sight",initial,
"learn
watch",to watch s.o. in order to learn s.t.,initial,
to (where),to where,initial,
yearn,to yearn,initial,
"to
like","to, like",initial,
"to
toward","to, toward",initial,
tobacco,tobacco,initial,
together,together,initial,
together,together with,initial,
much,too much,initial,
layer (top),top layer,initial,
"top (N)
summit
apex","top, summit, apex",initial,
torn,torn,initial,
touch,touch,initial,
"touch
catch","touch, catch",initial,
askew,tout de travers,initial,
toward,toward,initial,
toward (here),toward here,initial,
toward (middle marsh),toward middle marsh,initial,
"town
village","town, village",initial,
tracks,tracks,initial,
trade,trade,initial,
"trade
borrow","trade, borrow",initial,
tragic,tragic??,initial,
transport,transport,initial,
"trap
lasso","trap, lasso",initial,
trapped,trapped,initial,
tree,tree,initial,
tremble,tremble,initial,
three,trois,initial,
too,trop,initial,
trouble,trouble,initial,
"trouble
bad
sorry","trouble, bad, sorry",initial,
true ,true ,initial,
"true
correct","true, correct",initial,
true ,true,initial,
"truly
really","truly, really",initial,
truth,truth,initial,
try,try,initial,
try,try to,initial,
try,try to do s.t.,initial,
"try
look for","try, look for",initial,
"try
seek","try, seek",initial,
"try
test","try, test",initial,
"throat
tube","tube, throat",initial,
turn,turn,initial,
turn around,turn around,initial,
"turn around
opposite","turn around, opposite",initial,
turn over,turn over,initial,
"turn over
flip","turn over, flip over",initial,
"turn
circle (V)","turn, circle",initial,
"turn
move","turn, move",initial,
"turn
tip","turn, tip",initial,
turtle,turtle,initial,
twinkle,twinkle,initial,
twisted,twisted,initial,
two,two,initial,
unable,unable,initial,
unable,unable to,initial,
"unable
cannot","unable, cannot",initial,
uncertain,uncertain,initial,
"uncertain
in vain","uncertain, in vain",initial,
uncomfortable,uncomfortable,initial,
unconscious,unconscious,initial,
uncovered,uncovered,initial,
under,under,initial,
"under
below","under, below",initial,
"under
beneath","under, beneath",initial,
"under
bottom","under, bottom",initial,
"under
bury","under, bury",initial,
"under
underneath","under, underneath",initial,
underneath,underneath,initial,
underneath,underneeth,initial,
understand,understand,initial,
"understand
recognize","understand, recognize",initial,
uniform,uniform,initial,
"unite
together
pound
crush","unite, together; pound, crush",initial,
"unite
come together","uniting, coming together",initial,
untie,untie,initial,
"untie
loosen","untie, loosen",initial,
"all (day)
until (dark)",until dark; all day,initial,
up,up,initial,
up (along),up (along a surface),initial,
"up (at summit)
up (top)","up there on top, up there at the summit",initial,
up to,up to a given point or place,initial,
"up
above","up, above",initial,
"up
away","up, away",initial,
"up
high","up, high",initial,
"up
upward
uphill","up, upward, uphill",initial,
upon,upon,initial,
upright,upright,initial,
upriver,upriver,initial,
"uproot
yank
doff
free","uproot, yank, doff, free",initial,
upside down,upside down,initial,
upstream,upstream,initial,
upward,upward,initial,
"upward
above","upward, non-surface contact; above, non-surface contact",initial,
upward,"upward, usually with surface contact",initial,
urinate,urinate,initial,
urinate,uriner,initial,
use,use,initial,
"use
serve","use, serve",initial,
"used up
exhausted
depleted","used up, exhausted, depleted",initial,
useful,useful,initial,
useless,useless,initial,
variegated,variegated,initial,
variety,variety,initial,
various,various,initial,
upstream,vers l'amont,initial,
downstream,vers l'aval,initial,
"towards (coast)
towards (water)","vers l'eau, la côte",initial,
to (landfill),vers la décharge,initial,
to (center),vers le centre,initial,
to (shore),vers le rivage,initial,
very,very,initial,
bad,very bad,initial,
"far
long time","very long time, very far",initial,
small,very small,initial,
shortcut,via shortcut,initial,
"vigorously
hard","vigorously, hard",initial,
movement (violent),violent movement,initial,
virile,viril,initial,
"visible
exposed","visible, à découvert",initial,
vomit,vomit,initial,
wagon,wagon,initial,
robe,wagon-robe,initial,
wait,wait,initial,
wake up,wake (someone) up,initial,
waken,waken,initial,
walnut,walnut,initial,
waltes,waltes game,initial,
wander,wander,initial,
want,want,initial,
want (to do),want to do s.t.,initial,
"want
intend","want to, intend",initial,
warm,warm,initial,
weather (warm),warm weather,initial,
"warm
hot","warm, hot",initial,
warrior,warrior,initial,
wash,wash,initial,
"wash
wipe","wash, wipe",initial,
"wash
wipe
scrub
scrape
scratch
itch","wash, wipe, scrub, scrape, scratch, itch",initial,
watch,watch,initial,
"watch
ambush","watch, lie in ambush",initial,
"watch
tend
care
attention","watch, tend, care, attention",initial,
water,water,initial,
"water
wet","water, wet",initial,
wave,wave,initial,
weak,weak,initial,
"weak
exhausted","weak, exhausted",initial,
wear,wear,initial,
"weep
go for",weep; go for,initial,
well,well,initial,
"clearly
well (A)","well, clearly (sensory quality)",initial,
"good
well (A)","well, good",initial,
wet,wet,initial,
"wet
liquid","wet, liquid",initial,
"wet
soaked","wet, soaked with water",initial,
what,what,initial,
what,what is it?,initial,
"what
how","what, how",initial,
"what
something","what, something",initial,
what,what?,initial,
when,when,initial,
melt (snow),à la fonte des neiges,initial,
where,where,initial,
"where
while
during
how","where, while, how",initial,
"while
during",while,initial,
"while
during","while, during",initial,
whistle,whistle,initial,
white,white,initial,
"white
light
see","white, light, see",initial,
white,whitish,initial,
whittle,whittle,initial,
who,who,initial,
who,who is it,initial,
whole,whole,initial,
"whole
all","whole, all",initial,
"whole
alone
only","whole, alone, only",initial,
"whole
complete","whole, complete",initial,
why,why,initial,
"why
from","why, from",initial,
wide,wide,initial,
widow,widow,initial,
wife,wife,initial,
wiggle,wiggle,initial,
wild,wild,initial,
wild rice,wild rice,initial,
wind,wind,initial,
"windigo
owl","windigo, owl",initial,
windy,windy,initial,
winter,winter,initial,
wipe,wipe,initial,
"wipe
rub
wash","wipe, rub, wash",initial,
"wipe
wash","wipe, wash",initial,
with,with,initial,
with (the wind),with the wind,initial,
"with
accompany","with, accompany",initial,
"with
added",with; added,initial,
"wither
stale","wither, stale",initial,
wolf,wolf,initial,
"woman
female",woman,initial,
"woman
female","woman, female",initial,
"wonderful
marvelous
excessive","wonderful, marvelous; excessive",initial,
wood,wood,initial,
"wood
tree","wood, tree",initial,
work,work,initial,
work (the land),work the land,initial,
"work
do","work, do",initial,
"worn out
sapped
limp
weak","worn out, sapped, limp, weak",initial,
wound,wound,initial,
"wound
bruise
bloodshot","wound, bruise, bloodshot",initial,
"wound (V)
hurt","wound, hurt",initial,
"wound (V)
shoot","wound, shoot",initial,
wrap,wrap,initial,
wrap around,wrap around,initial,
wrap up,wrap up,initial,
"wrestle
beat","wrestle, beat",initial,
wring,wring,initial,
"wring
squeeze","wring, squeeze",initial,
wrinkled,wrinkled,initial,
write,write,initial,
wrong,wrong,initial,
way (wrong),wrong way,initial,
"wrong
fail","wrong, fail",initial,
"wrong
inappropriate
 indecent","wrong, inappropriate, indecent",initial,
"wrong
lonely
confused","wrong, lonely, confused",initial,
wrongly,wrongly,initial,
yellow,yellow,initial,
yesterday,yesterday,initial,
"way (that, yon)",yon way,initial,
"face down
way (that, yon)","yon way, face down",initial,
young,young,initial,
man (young),young man,initial,
"young
new","young, new",initial,
your,your (possessive),initial,
youth,youth,initial,
movement (into water),movement into water?,initial,
"flexible
one dimensional
CLASSIFIER",1D flexible,medial,
"flexible
one dimensional
CLASSIFIER",1D flexible objects,medial,
"inflexible
one dimensional
rigid
CLASSIFIER",1D inflexible,medial,
"flexible
one dimensional
CLASSIFIER","1d, flexible",medial,
"two dimensional
CLASSIFIER",2D,medial,
"two dimensional
CLASSIFIER",2D object,medial,
"three dimensional
CLASSIFIER",3D,medial,
"differentiated
three dimensional
CLASSIFIER",3D differentiated,medial,
"homogenous
three dimensional
CLASSIFIER",3D homogenous,medial,
"belly
body (small, round)
CLASSIFIER","belly, small, usually round, body",medial,
"berry
CLASSIFIER",berry,medial,
"berry
CLASSIFIER",berry ,medial,
"berry
fruit
nut
CLASSIFIER","berry, fruit nut",medial,
"bead
berry
grain
CLASSIFIER","berry, grain, bead",medial,
"berry
round
CLASSIFIER","berry, round thing",medial,
"belly
CLASSIFIER",[big?] belly,medial,
CLASSIFIER,classifier,medial,
"cloth
expanse
CLASSIFIER","cloth or cloth-like, expanded object",medial,
"cloth
expanse
CLASSIFIER",cloth or clothlike; expanse,medial,
"berry
granular
CLASSIFIER","granular item, berry",medial,
"solid (inorganic)
CLASSIFIER",inorganic solid,medial,
"long
rigid
CLASSIFIER",long and rigid,medial,
"long
rigid
CLASSIFIER","long, rigid",medial,
"long
wooden
CLASSIFIER",long en bois,medial,
"flexible
long
CLASSIFIER","long, flexible object",medial,
"metal
stone
CLASSIFIER",metal or stone,medial,
"metal
stone
CLASSIFIER","metal, stone",medial,
"mineral
CLASSIFIER",mineral,medial,
"mineral
CLASSIFIER",minéral,medial,
"mineral
solid
CLASSIFIER",mineral solid,medial,
"organic
solid
CLASSIFIER",organic solid,medial,
"organic
solid
sticklike
CLASSIFIER","organic solid, sticklike",medial,
"object (elongated)
rope
CLASSIFIER",rope or elongated object,medial,
"object (ropelike)
CLASSIFIER",rope-like objects,medial,
"rope-shaped
strandlike
stringlike
CLASSIFIER","rope-shaped, stringlike, strandlike",medial,
"object (elongated)
rope
CLASSIFIER","rope, elongated object",medial,
"object (ropelike)
rope
CLASSIFIER","rope, rope-like object",medial,
"rope
ropelike
stretched out
CLASSIFIER","rope, something rope-like or stretched out",medial,
"rope
ropelike
stretched out
CLASSIFIER","rope, something ropelike or stretched out",medial,
"rope
string
CLASSIFIER","rope, string",medial,
"rope
string
stringlike
CLASSIFIER","rope, string(like)",medial,
"round
CLASSIFIER",round,medial,
"object (round)
CLASSIFIER",round object,medial,
"belly
object (round, small)
CLASSIFIER","round small thing, belly",medial,
"cylindrical
round
CLASSIFIER","round, cylindrical",medial,
"globular
round
CLASSIFIER","round, globular",medial,
"cloth
paper
sheet
CLASSIFIER","sheet, cloth, paper",medial,
